specification,outcome,term,beta_linear_age,se_linear_age,p_linear_age,beta_age_month_fe,se_age_month_fe,p_age_month_fe,sign_change,significance_change_at_5pct,N,se_caveat
A_household_region_fe,haz,_water_hh_binary,-0.03526467583768686,0.03831605375695124,0.3573831290379641,-0.03511676369760634,0.03832861259837042,0.35956079010300634,False,False,36040,
A_household_region_fe,haz,_sani_hh_binary,0.021926731751949535,0.03423273537971722,0.5218349689510698,0.02154446806246236,0.03355014838855914,0.5207711444021312,False,False,36040,
A_household_region_fe,waz,_water_hh_binary,0.021178956622137514,0.030447419318378164,0.486684885323182,0.02043460599089999,0.0302612221965171,0.49950192123112336,False,False,36308,
A_household_region_fe,waz,_sani_hh_binary,0.04507313388989785,0.02812242717662832,0.1089905372762787,0.04597660740918272,0.02796134154486186,0.1001159217223237,False,False,36308,
A_household_region_fe,whz,_water_hh_binary,0.05038265105420596,0.03330994441910972,0.13039633324817887,0.04874254213371366,0.033031296615478295,0.1400386127200763,False,False,36145,
A_household_region_fe,whz,_sani_hh_binary,0.04576958792338561,0.029120073696226434,0.11600764836321262,0.04873173013220776,0.028339917597254103,0.08551539596579708,False,False,36145,
D_community_region_fe_common_sample,haz,water_rate_loo,0.03982902813977031,0.05952471814093564,0.5034205537800213,0.03782641093781741,0.059424603138236456,0.5244215132782436,False,False,36040,
D_community_region_fe_common_sample,haz,sanitation_rate_loo_core,0.0027033442390744407,0.0623803639941375,0.9654333264832334,0.010677540296359148,0.06386796495487428,0.8672272636584591,False,False,36040,
D_community_region_fe_common_sample,waz,water_rate_loo,0.06474283131665723,0.045811292427315055,0.1575820867210691,0.05829765751467743,0.045396698925407486,0.19907802060443247,False,False,36308,
D_community_region_fe_common_sample,waz,sanitation_rate_loo_core,0.050685145514204596,0.054677213243364824,0.35393252772346007,0.05769276959803314,0.05469892580621443,0.29154739208814684,False,False,36308,
D_community_region_fe_common_sample,whz,water_rate_loo,0.05270571056627486,0.05070339996133483,0.29857660078509063,0.04355915643409594,0.05038586896007327,0.3873070389203913,False,False,36145,
D_community_region_fe_common_sample,whz,sanitation_rate_loo_core,0.06878392522334065,0.05561923714900508,0.21620105189746852,0.07687034142338399,0.054623222846428746,0.15934344208446583,False,False,36145,
B_household_cluster_fe,haz,_water_hh_binary,-0.08532609265767357,0.04567376574528256,0.06173919137704333,-0.07917643899566909,0.045847802911639715,0.08417830556472661,False,False,36040,"SE/p shown are statsmodels' native cluster-robust values on the demeaned fit (cov_type='cluster', use_correction=True) - the thesis's primary same-PSU-FE/same-PSU-cluster inference convention (see docs/provenance/cluster_fe_inference_adjudication.md); no additional absorbed-FE degrees-of-freedom penalty is applied."
B_household_cluster_fe,haz,_sani_hh_binary,0.02559601138686413,0.042630454781393844,0.5482289608293278,0.025577689411690703,0.04010742753775727,0.523649783699309,False,False,36040,"SE/p shown are statsmodels' native cluster-robust values on the demeaned fit (cov_type='cluster', use_correction=True) - the thesis's primary same-PSU-FE/same-PSU-cluster inference convention (see docs/provenance/cluster_fe_inference_adjudication.md); no additional absorbed-FE degrees-of-freedom penalty is applied."
B_household_cluster_fe,waz,_water_hh_binary,-0.028534575067012034,0.03656639061228836,0.43518501605659776,-0.02257423811496374,0.036360408917806356,0.534700525248807,False,False,36308,"SE/p shown are statsmodels' native cluster-robust values on the demeaned fit (cov_type='cluster', use_correction=True) - the thesis's primary same-PSU-FE/same-PSU-cluster inference convention (see docs/provenance/cluster_fe_inference_adjudication.md); no additional absorbed-FE degrees-of-freedom penalty is applied."
B_household_cluster_fe,waz,_sani_hh_binary,0.052412475104666865,0.03461119843095625,0.12994436810440052,0.05201314437531993,0.033454521719463455,0.12000756757806753,False,False,36308,"SE/p shown are statsmodels' native cluster-robust values on the demeaned fit (cov_type='cluster', use_correction=True) - the thesis's primary same-PSU-FE/same-PSU-cluster inference convention (see docs/provenance/cluster_fe_inference_adjudication.md); no additional absorbed-FE degrees-of-freedom penalty is applied."
B_household_cluster_fe,whz,_water_hh_binary,0.011602106946916692,0.03770209951064175,0.7582869854065684,0.01692147609620002,0.03729873852057645,0.650063324930354,False,False,36145,"SE/p shown are statsmodels' native cluster-robust values on the demeaned fit (cov_type='cluster', use_correction=True) - the thesis's primary same-PSU-FE/same-PSU-cluster inference convention (see docs/provenance/cluster_fe_inference_adjudication.md); no additional absorbed-FE degrees-of-freedom penalty is applied."
B_household_cluster_fe,whz,_sani_hh_binary,0.052575812548320985,0.03402028633133754,0.12224341508871116,0.052959268672687555,0.03264262125887089,0.1047185161725251,False,False,36145,"SE/p shown are statsmodels' native cluster-robust values on the demeaned fit (cov_type='cluster', use_correction=True) - the thesis's primary same-PSU-FE/same-PSU-cluster inference convention (see docs/provenance/cluster_fe_inference_adjudication.md); no additional absorbed-FE degrees-of-freedom penalty is applied."
